school,school_id,alt_school,conference,id,type
Bolles School,/wiki/The_Bolles_School,,,,
Hampden–Sydney,/wiki/Hampden%E2%80%93Sydney_Tigers_football,,,,
Memorial Day HS,Memorial Day HS,,,,
Jacksonville,/wiki/Jacksonville_Dolphins_football,,,,
UCF,/wiki/UCF_Knights_football,UCF Knights,Big 12,/wiki/UCF_Knights_football,D1
Minnesota Vikings,/wiki/Minnesota_Vikings,,,,
Toledo,/wiki/Toledo_Rockets_football,Toledo Rockets,MAC,/wiki/Toledo_Rockets_football,D1
Arizona State,/wiki/Arizona_State_Sun_Devils_football,Arizona State Sun Devils,Pac-12,/wiki/Arizona_State_Sun_Devils_football,D1
Detroit Lions,/wiki/Detroit_Lions,,,,
Memphis,/wiki/Memphis_Tigers_football,Memphis Tigers,The American,/wiki/Memphis_Tigers_football,D1
Southern Arkansas,/wiki/Southern_Arkansas_Muleriders_football,,,,
Washington & Lee,/wiki/Washington_and_Lee_Generals_football,,,,
Lehigh,/wiki/Lehigh_Mountain_Hawks_football,,,,
Elon,/wiki/Elon_Phoenix_football,,,,
Sewanee,/wiki/Sewanee_Tigers_football,,,,
Northern Michigan,/wiki/Northern_Michigan_Wildcats,,,,
Kennesaw State,/wiki/Kennesaw_State_Owls_football,,,,
Navy,/wiki/Navy_Midshipmen_football,Navy Midshipmen,The American,/wiki/Navy_Midshipmen_football,D1
Houston,/wiki/Houston_Cougars_football,Houston Cougars,Big 12,/wiki/Houston_Cougars_football,D1
Washington State,/wiki/Washington_State_Cougars_football,Washington State Cougars,Pac-12,/wiki/Washington_State_Cougars_football,D1
Texas Tech,/wiki/Texas_Tech_Red_Raiders_football,Texas Tech Red Raiders,Big 12,/wiki/Texas_Tech_Red_Raiders_football,D1
Incarnate Word,/wiki/Incarnate_Word_Cardinals_football,,,,
North Texas,/wiki/North_Texas_Mean_Green_football,North Texas Mean Green,The American,/wiki/North_Texas_Mean_Green_football,D1
Alabama,/wiki/Alabama_Crimson_Tide_football,Alabama Crimson Tide,SEC,/wiki/Alabama_Crimson_Tide_football,D1
Catawba,/wiki/Catawba_Indians_football,,,,
Delta State,/wiki/Delta_State_Statesmen_football,,,,
New York Jets,/wiki/New_York_Jets,,,,
Stanford,/wiki/Stanford_Cardinal_football,Stanford Cardinal,Pac-12,/wiki/Stanford_Cardinal_football,D1
Rice,/wiki/Rice_Owls_football,Rice Owls,The American,/wiki/Rice_Owls_football,D1
Springdale HS,/wiki/Springdale_High_School,,,,
Arkansas,/wiki/Arkansas_Razorbacks_football,Arkansas Razorbacks,SEC,/wiki/Arkansas_Razorbacks_football,D1
Auburn,/wiki/Auburn_Tigers_football,Auburn Tigers,SEC,/wiki/Auburn_Tigers_football,D1
Samford,/wiki/Samford_Bulldogs_football,,,,
Arkansas State,/wiki/Arkansas_State_Red_Wolves_football,Arkansas State Red Wolves,Sun Belt,/wiki/Arkansas_State_Red_Wolves_football,D1
UConn,/wiki/UConn_Huskies_football,UConn Huskies,Independent,/wiki/UConn_Huskies_football,D1
SMU,/wiki/SMU_Mustangs_football,SMU Mustangs,The American,/wiki/SMU_Mustangs_football,D1
Miami,/wiki/Miami_Hurricanes_football,Miami Hurricanes,ACC,/wiki/Miami_Hurricanes_football,D1
Westerville Central HS,/wiki/Westerville_Central_High_School,,,,
Ohio State,/wiki/Ohio_State_Buckeyes_football,Ohio State Buckeyes,Big Ten,/wiki/Ohio_State_Buckeyes_football,D1
Northern Illinois,/wiki/Northern_Illinois_Huskies_football,Northern Illinois Huskies,MAC,/wiki/Northern_Illinois_Huskies_football,D1
Oklahoma State,/wiki/Oklahoma_State_Cowboys_football,Oklahoma State Cowboys,Big 12,/wiki/Oklahoma_State_Cowboys_football,D1
Illinois,/wiki/Illinois_Fighting_Illini_football,Illinois Fighting Illini,Big Ten,/wiki/Illinois_Fighting_Illini_football,D1
Iowa State,/wiki/Iowa_State_Cyclones_football,Iowa State Cyclones,Big 12,/wiki/Iowa_State_Cyclones_football,D1
Tennessee,/wiki/Tennessee_Volunteers_football,Tennessee Volunteers,SEC,/wiki/Tennessee_Volunteers_football,D1
South Florida,/wiki/South_Florida_Bulls_football,South Florida Bulls,The American,/wiki/South_Florida_Bulls_football,D1
Allegheny,/wiki/Allegheny_Gators_football,,,,
Eastern Michigan,/wiki/Eastern_Michigan_Eagles_football,Eastern Michigan Eagles,MAC,/wiki/Eastern_Michigan_Eagles_football,D1
Penn,/wiki/Penn_Quakers_football,,,,
Villanova,/wiki/Villanova_Wildcats_football,,,,
Bowling Green,/wiki/Bowling_Green_Falcons_football,Bowling Green Falcons,MAC,/wiki/Bowling_Green_Falcons_football,D1
Green Bay Packers,/wiki/Green_Bay_Packers,,,,
Mississippi State,/wiki/Mississippi_State_Bulldogs_football,Mississippi State Bulldogs,SEC,/wiki/Mississippi_State_Bulldogs_football,D1
Florida,/wiki/Florida_Gators_football,Florida Gators,SEC,/wiki/Florida_Gators_football,D1
Syracuse,/wiki/Syracuse_Orange_football,Syracuse Orange,ACC,/wiki/Syracuse_Orange_football,D1
Chicago Bears,/wiki/Chicago_Bears,,,,
Texas,/wiki/Texas_Longhorns_football,Texas Longhorns,Big 12,/wiki/Texas_Longhorns_football,D1
Temple,/wiki/Temple_Owls_football,Temple Owls,The American,/wiki/Temple_Owls_football,D1
Pittsburg State,/wiki/Pittsburg_State_Gorillas_football,,,,
Shawnee Mission NW HS,/wiki/Shawnee_Mission_Northwest_High_School,,,,
Sam Houston State,/wiki/Sam_Houston_Bearkats_football,,,,
Willis HS,Willis HS,,,,
Coffeyville CC,/wiki/Coffeyville_Community_College,,,,
Blinn,/wiki/Blinn_College,,,,
Central Missouri,/wiki/Central_Missouri_Mules_football,,,,
Georgia Southern,/wiki/Georgia_Southern_Eagles_football,Georgia Southern Eagles,Sun Belt,/wiki/Georgia_Southern_Eagles_football,D1
Tulane,/wiki/Tulane_Green_Wave_football,Tulane Green Wave,The American,/wiki/Tulane_Green_Wave_football,D1
North Carolina,/wiki/North_Carolina_Tar_Heels_football,North Carolina Tar Heels,ACC,/wiki/North_Carolina_Tar_Heels_football,D1
Winston-Salem State,/wiki/Winston-Salem_State_Rams_football,,,,
North Carolina A&T,/wiki/North_Carolina_A%26T_Aggies_football,,,,
Fred T. Foard HS,/wiki/Fred_T._Foard_High_School,,,,
Northwestern,/wiki/Northwestern_Wildcats_football,Northwestern Wildcats,Big Ten,/wiki/Northwestern_Wildcats_football,D1
Oklahoma,/wiki/Oklahoma_Sooners_football,Oklahoma Sooners,Big 12,/wiki/Oklahoma_Sooners_football,D1
Indiana,/wiki/Indiana_Hoosiers_football,Indiana Hoosiers,Big Ten,/wiki/Indiana_Hoosiers_football,D1
Tulsa,/wiki/Tulsa_Golden_Hurricane_football,Tulsa Golden Hurricane,The American,/wiki/Tulsa_Golden_Hurricane_football,D1
Lipscomb,/wiki/Lipscomb_Academy,,,,
UAB,/wiki/UAB_Blazers_football,UAB Blazers,The American,/wiki/UAB_Blazers_football,D1
Big Sandy HS,"/wiki/Big_Sandy_High_School_(Big_Sandy,_Texas)",,,,
Jacksonville HS,"/wiki/Jacksonville_High_School_(Jacksonville,_Texas)",,,,
Gilmer HS,/wiki/Gilmer_Independent_School_District,,,,
UTSA,/wiki/UTSA_Roadrunners_football,UTSA Roadrunners,The American,/wiki/UTSA_Roadrunners_football,D1
WPI,/wiki/WPI_Engineers_football,,,,
Albany,/wiki/Albany_Great_Danes_football,,,,
Pittsburgh,/wiki/Pittsburgh_Panthers_football,Pittsburgh Panthers,ACC,/wiki/Pittsburgh_Panthers_football,D1
Rutgers,/wiki/Rutgers_Scarlet_Knights_football,Rutgers Scarlet Knights,Big Ten,/wiki/Rutgers_Scarlet_Knights_football,D1
Tampa Bay Buccaneers,/wiki/Tampa_Bay_Buccaneers,,,,
Cleveland Browns,/wiki/Cleveland_Browns,,,,
San Francisco 49ers,/wiki/San_Francisco_49ers,,,,
Boston College,/wiki/Boston_College_Eagles_football,Boston College Eagles,ACC,/wiki/Boston_College_Eagles_football,D1
Clemson,/wiki/Clemson_Tigers_football,Clemson Tigers,ACC,/wiki/Clemson_Tigers_football,D1
Stony Brook,/wiki/Stony_Brook_Seawolves_football,,,,
Merchant Marine,/wiki/Merchant_Marine_Mariners_football,,,,
Fordham,/wiki/Fordham_Rams_football,,,,
Richmond,/wiki/Richmond_Spiders_football,,,,
Hofstra,/wiki/Hofstra_Pride_football,,,,
Wake Forest,/wiki/Wake_Forest_Demon_Deacons_football,Wake Forest Demon Deacons,ACC,/wiki/Wake_Forest_Demon_Deacons_football,D1
Notre Dame,/wiki/Notre_Dame_Fighting_Irish_football,Notre Dame Fighting Irish,Independent,/wiki/Notre_Dame_Fighting_Irish_football,D1
Texas A&M,/wiki/Texas_A%26M_Aggies_football,Texas A&M Aggies,SEC,/wiki/Texas_A%26M_Aggies_football,D1
Duke,/wiki/Duke_Blue_Devils_football,Duke Blue Devils,ACC,/wiki/Duke_Blue_Devils_football,D1
Central Arkansas,/wiki/Central_Arkansas_Bears_football,,,,
Florida State,/wiki/Florida_State_Seminoles_football,Florida State Seminoles,ACC,/wiki/Florida_State_Seminoles_football,D1
Georgia Tech,/wiki/Georgia_Tech_Yellow_Jackets_football,Georgia Tech Yellow Jackets,ACC,/wiki/Georgia_Tech_Yellow_Jackets_football,D1
Western Carolina,/wiki/Western_Carolina_Catamounts_football,,,,
FIU,/wiki/FIU_Panthers_football,Florida International Panthers,C-USA,/wiki/FIU_Panthers_football,D1
Oregon,/wiki/Oregon_Ducks_football,Oregon Ducks,Pac-12,/wiki/Oregon_Ducks_football,D1
Southern Miss,/wiki/Southern_Miss_Golden_Eagles_football,Southern Miss Golden Eagles,Sun Belt,/wiki/Southern_Miss_Golden_Eagles_football,D1
Memphis State,/wiki/Memphis_Tigers_football,Memphis Tigers,The American,/wiki/Memphis_Tigers_football,D1
LSU,/wiki/LSU_Tigers_football,LSU Tigers,SEC,/wiki/LSU_Tigers_football,D1
Appalachian State,/wiki/Appalachian_State_Mountaineers_football,Appalachian State Mountaineers,Sun Belt,/wiki/Appalachian_State_Mountaineers_football,D1
Shawnee Mission HS,/wiki/Shawnee_Mission_Northwest_High_School,,,,
Drake,/wiki/Drake_Bulldogs_football,,,,
USC,/wiki/USC_Trojans_football,USC Trojans,Pac-12,/wiki/USC_Trojans_football,D1
Montana,/wiki/Montana_Grizzlies_football,,,,
Kansas,/wiki/Kansas_Jayhawks_football,Kansas Jayhawks,Big 12,/wiki/Kansas_Jayhawks_football,D1
Wisconsin,/wiki/Wisconsin_Badgers_football,Wisconsin Badgers,Big Ten,/wiki/Wisconsin_Badgers_football,D1
NC State,/wiki/NC_State_Wolfpack_football,NC State Wolfpack,ACC,/wiki/NC_State_Wolfpack_football,D1
Rhode Island,Rhode Island,,,,
Cincinnati,/wiki/Cincinnati_Bearcats_football,Cincinnati Bearcats,Big 12,/wiki/Cincinnati_Bearcats_football,D1
Michigan State,/wiki/Michigan_State_Spartans_football,Michigan State Spartans,Big Ten,/wiki/Michigan_State_Spartans_football,D1
Hawaii,/wiki/Hawaii_Rainbow_Warriors_football,Hawaiʻi Rainbow Warriors,Mountain West,/wiki/Hawaii_Rainbow_Warriors_football,D1
Eastern Illinois,/wiki/Eastern_Illinois_Panthers_football,,,,
UNLV,/wiki/UNLV_Rebels_football,UNLV Rebels,Mountain West,/wiki/UNLV_Rebels_football,D1
Northern Arizona,/wiki/Northern_Arizona_Lumberjacks_football,,,,
Purdue,/wiki/Purdue_Boilermakers_football,Purdue Boilermakers,Big Ten,/wiki/Purdue_Boilermakers_football,D1
San Diego State,/wiki/San_Diego_State_Aztecs_football,San Diego State Aztecs,Mountain West,/wiki/San_Diego_State_Aztecs_football,D1
Arizona,/wiki/Arizona_Wildcats_football,Arizona Wildcats,Pac-12,/wiki/Arizona_Wildcats_football,D1
UCLA,/wiki/UCLA_Bruins_football,UCLA Bruins,Pac-12,/wiki/UCLA_Bruins_football,D1
Baylor,/wiki/Baylor_Bears_football,Baylor Bears,Big 12,/wiki/Baylor_Bears_football,D1
South Carolina State,/wiki/South_Carolina_State_Bulldogs_football,,,,
Furman,/wiki/Furman_Paladins_football,,,,
Virginia,/wiki/Virginia_Cavaliers_football,Virginia Cavaliers,ACC,/wiki/Virginia_Cavaliers_football,D1
Buffalo,/wiki/Buffalo_Bulls_football,Buffalo Bulls,MAC,/wiki/Buffalo_Bulls_football,D1
East Stroudsburg,/wiki/East_Stroudsburg_Warriors,,,,
Virginia Tech,/wiki/Virginia_Tech_Hokies_football,Virginia Tech Hokies,ACC,/wiki/Virginia_Tech_Hokies_football,D1
Louisiana–Lafayette,/wiki/Louisiana_Ragin%27_Cajuns_football,Louisiana Ragin' Cajuns,Sun Belt,/wiki/Louisiana_Ragin%27_Cajuns_football,D1
Vanderbilt,/wiki/Vanderbilt_Commodores_football,Vanderbilt Commodores,SEC,/wiki/Vanderbilt_Commodores_football,D1
Penn State,/wiki/Penn_State_Nittany_Lions_football,Penn State Nittany Lions,Big Ten,/wiki/Penn_State_Nittany_Lions_football,D1
Redlands HS,/wiki/Redlands_High_School,,,,
Cal Lutheran,/wiki/Cal_Lutheran_Kingsmen_football,,,,
Southern Utah,/wiki/Southern_Utah_Thunderbirds_football,,,,
Utah State,/wiki/Utah_State_Aggies_football,Utah State Aggies,Mountain West,/wiki/Utah_State_Aggies_football,D1
Eastern Arizona,/wiki/Eastern_Arizona_College,,,,
Utah,/wiki/Utah_Utes_football,Utah Utes,Pac-12,/wiki/Utah_Utes_football,D1
Oregon State,/wiki/Oregon_State_Beavers_football,Oregon State Beavers,Pac-12,/wiki/Oregon_State_Beavers_football,D1
BYU,BYU,,,,
Louisville,/wiki/Louisville_Cardinals_football,Louisville Cardinals,ACC,/wiki/Louisville_Cardinals_football,D1
Valdosta State,/wiki/Valdosta_State_Blazers_football,,,,
Mississippi College,/wiki/Mississippi_College_Choctaws_football,,,,
Wingate,/wiki/Wingate_Bulldogs_football,,,,
West Virginia,/wiki/West_Virginia_Mountaineers_football,West Virginia Mountaineers,Big 12,/wiki/West_Virginia_Mountaineers_football,D1
Mount Union,/wiki/Mount_Union_Purple_Raiders_football,,,,
Wisconsin–Whitewater,/wiki/Wisconsin%E2%80%93Whitewater_Warhawks_football,,,,
Doane,/wiki/Doane_Tigers_football,,,,
Nebraska–Omaha,/wiki/Nebraska%E2%80%93Omaha_Mavericks_football,,,,
